ngrama,coeficiente,pct_missing_train,pct_missing_test
comercial barri,0.08868884,98.47843,98.22089
xxx excelent,0.08789961,98.79154,98.7167
vend espectacul,0.08784054,99.52386,99.69862
pati nivel,0.08768741,99.68688,99.54307
priv principal,0.087452605,99.836975,99.72778
deposit gimnasi,0.087447,95.7717,95.59597
ubic callej,0.08694223,98.93904,99.74723
balcon estudi cocin,0.08562112,99.7464,99.95139
principal vesti,0.08559107,99.5368,99.572235
comercial residencial,0.08489895,98.81741,98.08478
exclus sector,0.0848531,99.761925,100.0
ban servici,0.08473182,99.844734,99.581955
tenis canch,0.083991595,99.84732,99.99028
recod country,0.08397221,99.549736,99.99028
servici parqueader deposit,0.08380829,99.67136,100.0
acab luj,0.083500385,99.71794,99.61112
ilumin natural edifici,0.08348259,99.48763,99.86389
comedor independient,0.0833572,99.15382,99.35835
estudi terraz,0.08314827,96.50398,97.63757
calder plant,0.08288927,99.77745,99.84445
cubiert line,0.08264391,99.824036,99.825005
lag cordob,0.08244424,99.836975,99.77639
exclus zon,0.08239268,99.15123,98.26949
estudi balcon,0.08210082,99.42552,99.931946
teusaquill cod,0.08207001,99.77228,99.2028
rcj rentahous,0.08127765,99.07877,98.67781
exterior ano constru,0.08067339,99.31684,99.5139
abiert isla,0.08057652,99.80851,99.88334
star alcob,0.0805002,97.999695,97.511185
nivel espaci,0.07988377,99.824036,99.87361
diecioch cer,0.07975365,99.73088,99.94167
terraz alcob,0.07974563,99.80592,99.98056
pgin web,0.079728484,99.74899,99.87361
tip isla,0.079575546,99.74899,99.73751
mejor sector,0.07921418,99.8111,99.98056
deposit cuart,0.07913449,99.640305,99.66946
sector comercial,0.07902461,99.21333,99.38751
ubic sant,0.078870535,99.831795,99.931946
barri ciud,0.07866553,97.916885,97.70562
country club,0.07832844,98.80707,98.19171
deposit pis lamin,0.078086615,99.702415,99.76667
garaj cubiert carr,0.07777092,99.42552,97.70562
sal comedor estudi,0.07721917,99.65583,99.65973
terraz habit,0.07676102,99.11241,99.329185
pati rop garaj,0.0766012,99.56009,99.54307
pis local,0.07613465,99.52386,99.76667
chimene pis,0.075940594,99.72829,99.6014
bao estudi,0.074968204,99.3039,99.27086
priv cuart,0.07483303,99.46693,99.39724
barri callej,0.074608035,99.81886,99.90278
piscin saun turc,0.074600525,96.0848,97.33619
gas ban,0.0742821,99.77228,99.40697
club country,0.073433824,99.80592,100.0
nicol federm,0.07335809,99.71794,99.97083
rod naturalez,0.072758555,99.67912,99.75695
usaqun cod vmisx,0.072520666,99.780045,99.88334
habit ban priv,0.07246072,99.71277,99.805565
cubiert carr,0.07198535,99.52644,99.62084
zon lavanderi pati,0.07145244,99.62737,99.581955
terraz cocin abiert,0.071069635,99.831795,99.90278
nqs call,0.071038134,99.78263,99.86389
comedor alcob cocin,0.07087332,98.90022,98.54171
star estudi,0.070858724,99.441055,99.348625
walking closet,0.07082206,99.79816,99.99028
priv estudi,0.07072483,99.645485,99.94167
ban vesti,0.07042284,99.091705,99.69862
espaci garaj,0.070393644,99.2832,100.0
jimenez xxx excelent,0.07017208,99.81627,99.95139
acces terraz,0.06985519,99.7464,99.9125
estudi garaj,0.069791496,99.34789,99.77639
estudi ban social,0.069721505,99.67394,99.72778
plant electr,0.06967258,99.761925,99.75695
vist ciud,0.068546765,99.7257,99.348625
chimene estudi,0.06831743,99.72829,99.63056
modern edifici,0.068267815,99.161575,99.086136
pis encontr,0.06797113,99.80334,99.96111
servici estudi,0.06790125,99.697235,99.65001
acept permut,0.06784188,99.252144,98.88198
cuart bao,0.06771243,99.76452,99.69862
minut aeropuert,0.0675523,99.15899,99.40697
walk closet,0.06746556,98.76566,98.376434
estudi zon,0.06727162,99.2832,99.26113
excelent segur,0.066994786,99.07877,99.105576
residencial excelent,0.06698504,99.65842,99.465294
complet dot,0.066945516,99.62996,99.14447
ciud mont,0.066271715,99.68171,99.94167
balcon chimene,0.06625722,99.75934,99.63056
jardin exterior,0.06616215,99.76969,99.88334
frent fond,0.06608637,99.322014,99.03753
estudi alcob,0.06590475,98.892456,99.03753
chimene sal,0.065883175,99.7257,99.78612
priv jacuzzi,0.06587805,99.0089,99.54307
sector chic,0.0656345,99.836975,99.95139
call carrer,0.06523079,99.80334,99.78612
cerr oriental,0.0650326,99.34789,99.53334
pagin web,0.06502537,99.54198,99.47501
respect ban,0.06498404,99.13052,98.852806
comercial unicentr,0.064978994,99.80334,99.98056
favor comunicar,0.06479947,99.80334,99.98056
sal cocin integral,0.06474007,99.28579,98.84309
deposit are,0.06468674,95.93731,95.69319
cerc aeropuert,0.06455704,99.28062,99.19308
estudi hall,0.06431449,99.73864,99.688896
complet remodel,0.06414662,99.34271,99.231964
acces cra call,0.06408554,98.1058,98.46393
parqu via,0.06369379,99.824036,99.92222
cortin electr,0.06364254,98.81741,98.95003
sal comedor independient,0.06309211,96.75499,96.11123
alcob pati,0.062868096,99.583374,99.455574
rentahous vend,0.062651284,99.78781,99.825005
pis bodeg,0.06257513,98.53795,97.72507
vist espectacul,0.062501125,99.7904,99.72778
dobl altur,0.062377013,99.353065,99.17364
bao servici zon,0.062111586,93.90864,96.00429
esquiner vist,0.062073693,99.2418,98.95975
rop pati,0.061940942,98.0411,99.05697
lavanderi ampli,0.06169869,99.7904,99.99028
embaj american,0.06153008,99.76452,99.83473
mts2 alcob,0.061294135,99.79557,99.84445
comedor alcob closet,0.061083723,99.353065,99.319466
vigil permanent,0.060512014,97.60117,96.12096
espectacul ampli,0.060499795,99.59631,99.2514
terraz cocin,0.060416404,98.46808,98.46393
nivel sal chimene,0.06028624,99.619606,99.48473
independient hall alcob,0.059954774,99.46434,99.688896
terraz sal,0.05987852,99.710175,99.815285
cerc unicentr,0.059877522,96.46,96.8501
pis ceram cocin,0.059799053,99.632545,99.78612
turc saun,0.05949142,98.12391,98.006996
